CO2,O2,Slime Goop,Mushrooms,Cave Beetles,Glow Worms,Stone Trolls,Crystal Spiders,Fungal Golems,Recording Purpose
126787009.2225208,26768799.743999027,100389130.87819248,21598073.032438368,15769492.720522337,21107291.714147996,1.0,100.0,16096976.912363892,0.0
160039162.2639616,32794692.799362928,127561381.70820877,26604474.970018473,19599574.19100927,26017822.3669215,1.0,100.0,19991929.3115576,0.0
200993727.3972821,40014147.00948352,161214375.59265134,32630681.267639708,24244047.175580963,31931930.281058192,1.0,100.0,24712476.070937596,0.0
251205504.18356323,48631388.78976641,202692889.82012212,39856031.18714216,29852062.399475906,39026642.53695222,1.0,100.0,30409400.756669335,0.0
312497564.7372781,58879989.16350063,253580038.57260865,48486363.19454479,36595714.048598185,47505222.08802908,1.0,100.0,37256621.71429486,0.0
386999603.0561882,71026227.04665303,315732292.11474377,58757148.706624396,44672874.111648776,57600280.32727767,1.0,100.0,45454042.444125265,0.0
477190559.83473206,85372724.32027832,391318525.59633964,70936890.4932378,54310280.55165653,69577153.653322,1.0,100.0,55230656.3796967,0.0
585945838.9777248,102262361.13664086,482863410.53415823,85330795.324799,65766890.220397055,83737553.73069482,1.0,100.0,66847916.914332256,0.0
716589436.0872649,122082478.5465564,593295468.035675,102284729.27678172,79337506.49026069,100423499.97808115,1.0,100.0,80603382.56816562,0.0
872951300.7501202,145269373.9618672,726000106.5559856,122189462.71472289,95356690.43559182,120021541.44693759,1.0,100.0,96834646.03162676,0.0
1059430253.2057619,172313093.17347625,884877968.13837,145485210.3772657,114202963.04054841,142967273.6642083,1.0,100.0,115923554.45259926,0.0
1281062771.6276386,203762520.62924105,1074408905.3766615,172666470.14656222,136303304.33600157,169750154.20192796,1.0,100.0,138300726.7461632,0.0
1543597958.5078897,240230767.43691203,1299721906.4522192,204287162.04231584,162137953.5687172,200918618.70058692,1.0,100.0,164450371.89291593,0.0
1853578983.2128956,282400854.09742904,1566671277.2442203,240966066.69777423,192245512.47900957,237085496.81190795,1.0,100.0,194915410.15139088,0.0
2218431282.401442,331031682.2983054,1881919377.4029179,283392560.0756203,227228351.50760907,278933725.04245836,1.0,100.0,230302896.84158197,0.0
2646557780.414227,386964287.2135441,2253026191.139418,332332638.4643432,267758316.27065706,327222350.77743876,1.0,100.0,271289745.8622001,0.0
3147441367.720975,451128358.67669284,2688545993.069057,388635224.8697132,314582728.93838817,382792818.8522196,1.0,100.0,318628747.38907087,0.0
3731754846.845124,524549016.331638,3198131344.519032,453238744.79302645,368530676.2360792,446575528.92906374,1.0,100.0,373154871.27411854,0.0
4411478521.70415,608353820.4392865,3792644626.0736313,527177956.0827096,430519572.66632503,519596648.64260554,1.0,100.0,435791844.5349571,0.0
5200025567.871846,703779996.4484829,4484277277.6150875,611591014.0769281,501561984.24405766,602985164.0180413,1.0,100.0,507558988.008845,0.0
6112375277.79573,812181847.7508272,5286676877.59648,707726749.6437002,582772694.5577861,697980145.062034,1.0,100.0,589578293.7596897,0.0
7165214226.4439335,935038327.2592944,6215082148.670777,816952133.9967527,675375991.3435876,805938200.7028699,1.0,100.0,683081721.1944028,0.0
8377085349.219098,1073960734.6107445,7286465927.061149,940759900.3483886,780713148.007195,928341093.4416175,1.0,100.0,789418686.0901674,0.0
9768544865.325872,1230700501.926672,8519686078.209555,1080776288.5866632,900250070.6822726,1066803480.2013838,1.0,100.0,910063712.8854563,0.0
11362326916.237373,1407157027.2118769,9935644281.35795,1238768875.2679589,1035585077.5011785,1223080741.961822,1.0,100.0,1046624216.6766173,0.0
13183515720.661758,1605385510.6667867,11557452540.935238,1416654447.3352752,1188456772.8128662,1399076860.8782966,1.0,100.0,1200848377.423387,0.0
15259724974.716042,1827604745.4778824,13410607213.143871,1616506874.14752,1360751975.1487584,1596852299.7497106,1.0,100.0,1374633064.9386148,0.0
17621284149.19236,2076204811.0760007,15523170262.23004,1840564928.6783826,1554513653.8518326,1818631834.9584064,1.0,100.0,1570031769.3602881,0.0
20301431255.242912,2353754613.459673,17925957382.917778,2091240005.1595428,1771948825.4895978,2066812290.4042444,1.0,100.0,1789262488.020572,0.0
23336511565.9756,2663009214.0166993,20652732543.79695,2371123677.048071,2015436357.5129564,2343970116.538907,1.0,100.0,2034715515.9818807,0.0
26766181694.873962,3006916885.388966,23740408421.556038,2682995036.0389986,2287534623.1466045,2652868755.422805,1.0,100.0,2308961084.0505385,0.0
30633618343.232468,3388625830.360325,27229252108.391186,3029827749.9687915,2590988948.250264,2996465729.823301,1.0,100.0,2614756784.851942,0.0
34985730938.59822,3811490497.5517907,31163095385.32047,3414796774.91147,2928738787.9218507,3377919391.7969894,1.0,100.0,2955054724.6055236,0.0
39873377295.26191,4279077425.9279065,35589548763.17027,3841284654.6033406,3303924567.9720726,3800595263.9976435,1.0,100.0,3333008335.621528,0.0
